,input_size,insertion_time,checking_time,fpr,cpr,uniform,independent
57,580000,3.6046595573425293,3.4264163970947266,0.9975041245702239,1.1950813457930092,True,True
58,590000,3.6637721061706543,3.4718964099884033,0.997851431239076,1.1748257297626192,True,True
59,600000,3.728973150253296,3.5412697792053223,0.9981504512317043,1.1552453009332422,True,True
60,610000,3.829263210296631,3.610978603363037,0.9984078870915678,1.1363068533769596,True,True
61,620000,3.8746485710144043,3.648005485534668,0.9986295138111917,1.1179793234837827,True,True
62,630000,3.913926124572754,3.7099385261535645,0.9988203064642835,1.100233619936421,True,True
63,640000,3.982970714569092,3.770085334777832,0.998984550465388,1.0830424696249146,True,True
64,650000,4.039107322692871,3.824946403503418,0.999125936772038,1.0663802777845313,True,True
65,660000,4.10609245300293,3.8925812244415283,0.9992476440490587,1.050223000848402,True,True
66,670000,4.1600120067596436,3.9595704078674316,0.9993524095533894,1.0345480306864856,True,True
67,680000,4.245493173599243,4.001543045043945,0.9994425902677961,1.019334089058743,True,True
68,690000,4.282723665237427,4.0642759799957275,0.9995202156099889,1.0045611312462974,True,True
69,700000,4.352808237075806,4.128794431686401,0.9995870328671392,0.990210257942779,True,True
70,710000,4.421734809875488,4.18668532371521,0.9996445463516153,0.9762636345914723,True,True
71,720000,4.491047620773315,4.235490798950195,0.9996940511396432,0.9627044174443684,True,True
72,730000,4.538031339645386,4.29792046546936,0.9997366621378301,0.9495166856985552,True,True
73,740000,4.6254003047943115,4.36788535118103,0.999773339121276,0.9366853791350612,True,True
74,750000,4.667664527893066,4.425812482833862,0.9998049082991157,0.9241962407465937,True,True
75,760000,4.721215009689331,4.482325553894043,0.9998320808873046,0.9120357638946649,True,True
76,770000,4.799518585205078,4.542264461517334,0.9998554691026322,0.9001911435843445,True,True
77,780000,4.87226939201355,4.589087247848511,0.9998755999350094,0.8886502314871093,True,True
78,790000,4.921709299087524,4.649747133255005,0.9998929270059269,0.8774014943796776,True,True
79,800000,4.979769706726074,4.714613199234009,0.9999078407784856,0.8664339756999316,True,True
80,810000,5.052743911743164,4.7684221267700195,0.9999206773477346,0.8557372599505497,True,True
81,820000,5.097871541976929,4.838077068328857,0.9999317260084399,0.8453014397072504,True,True
82,830000,5.16044807434082,4.897464990615845,0.9999412357700809,0.8351170850119822,True,True
83,840000,5.234618902206421,4.957876920700073,0.9999494209653714,0.8251752149523158,True,True
84,850000,5.277523517608643,4.999222993850708,0.9999564660783226,0.8154672712469945,True,True
85,860000,5.350349187850952,5.070186376571655,0.9999625299003325,0.805985093674355,True,True
86,870000,5.402072191238403,5.1378090381622314,0.9999677491077843,0.7967208971953395,True,True
87,880000,5.561641693115234,5.203496217727661,0.999972241341629,0.7876672506363015,True,True
88,890000,5.536181449890137,5.230186700820923,0.9999761078582149,0.7788170568089273,True,True
89,900000,5.6583452224731445,5.30102014541626,0.9999794358110539,0.7701635339554948,True,True
90,910000,5.662712335586548,5.3663341999053955,0.9999823002148845,0.7617001984175223,True,True
91,920000,5.747292518615723,5.422474384307861,0.9999847656362423,0.7534208484347231,True,True
92,930000,5.841315507888794,5.509782075881958,0.9999868876486127,0.7453195489891885,True,True
93,940000,5.858110427856445,5.534318685531616,0.9999887140849524,0.7373906176169631,True,True
94,950000,5.903136968612671,5.5939600467681885,0.9999902861157713,0.7296286111157319,True,True
95,960000,5.997332572937012,5.664069890975952,0.9999916391770822,0.7220283130832763,True,True
96,970000,6.03632116317749,5.7243523597717285,0.9999928037691149,0.7145847222267477,True,True
97,980000,6.10816764831543,5.763514995574951,0.9999938061437796,0.7072930413876993,True,True
98,990000,6.160331726074219,5.835861921310425,0.9999946688964001,0.700148667232268,True,True
99,1000000,6.240589380264282,5.883666515350342,0.9999954114750184,0.6931471805599453,True,True
